date,morph,type,sex,winglength,wingwidth,hindtibia
6/28/17,W,lab,F,3.15,1.04,0.78
6/28/17,S,lab,M,2.225,0.85,0.64
6/28/17,W,lab,F,2.925,1.21,0.84
6/28/17,S,lab,F,2.35,0.87,0.67
6/28/17,W,lab,F,3.1,1.22,0.83
6/28/17,S,lab,M,2.3,0.88,0.7
6/28/17,W,lab,M,2.7,1.13,0.72
6/28/17,S,lab,F,2.275,1.08,0.7
6/28/17,W,lab,F,3.025,1.3,0.84
6/28/17,S,lab,F,2.525,1.06,0.79
6/28/17,S,lab,F,2.275,1.03,0.71
6/28/17,S,lab,F,2.5,1.03,0.76
6/28/17,S,lab,M,2.25,0.89,0.68
6/28/17,S,lab,M,2.275,0.88,0.67
6/28/17,S,lab,F,2.425,1.06,0.75
6/28/17,S,lab,M,2.175,0.92,0.69
6/28/17,S,lab,M,2.175,0.89,0.65
6/29/17,S,lab,F,2.35,0.97,0.7
6/29/17,S,lab,M,2,0.81,0.62
6/29/17,S,lab,F,2.475,1.05,0.73
6/29/17,S,lab,M,2.15,0.85,0.62
6/29/17,S,lab,F,2.5,1.02,0.72
6/29/17,S,lab,M,2.225,0.88,0.67
6/29/17,S,lab,M,2.1,0.86,0.63
6/29/17,S,lab,M,2.175,0.93,0.68
6/29/17,S,lab,M,2.25,0.94,0.7
6/29/17,S,lab,M,2.15,0.89,0.66
6/29/17,S,lab,M,2.125,0.87,0.66
6/29/17,W,lab,M,2.725,0.11,0.74
6/29/17,W,lab,F,2.875,1.25,0.76
6/29/17,W,lab,F,2.925,1.25,0.82
6/29/17,W,lab,M,2.525,1.05,0.74
6/29/17,W,lab,F,3.1,1.28,0.8
6/29/17,W,lab,M,2.75,1.16,0.78
7/13/17,W,lab,F,2.75,1.09,0.74
7/13/17,S,lab,M,2.125,0.88,0.65
7/13/17,S,lab,M,2.375,1.03,0.72
7/13/17,S,lab,F,2.525,1.08,0.78
7/13/17,W,lab,F,2.725,1.15,0.76
7/13/17,W,lab,F,2.8,1.25,0.8
7/13/17,W,lab,M,2.725,1.08,0.76
7/13/17,W,lab,M,2.475,1.13,0.71
7/13/17,W,lab,F,3.025,1.28,0.82
7/13/17,W,lab,M,2.75,1.12,0.78
7/13/17,S,lab,M,2.025,0.89,0.68
7/13/17,S,lab,F,2.3,1.02,0.73
7/13/17,S,lab,F,2.55,1.05,0.74
7/13/17,S,lab,M,2.35,0.91,0.72
7/13/17,S,lab,F,2.35,1,0.72
7/13/17,S,lab,M,2.225,0.88,0.72
7/13/17,S,lab,F,2.325,1.01,0.75
7/13/17,S,lab,M,2.125,0.9,0.68
7/13/17,S,lab,M,2.175,0.89,0.65
7/13/17,S,lab,F,2.375,1.03,0.71
7/13/17,S,lab,F,2.325,1.07,0.76
7/13/17,S,lab,F,2.475,1.05,0.74
7/13/17,S,lab,F,2.35,1.01,0.74
7/19/17,W,lab,F,2.975,1.32,0.85
7/19/17,W,lab,M,2.775,1.17,0.77
7/19/17,W,lab,F,2.825,1.15,0.82
7/19/17,W,lab,F,3,1.23,0.79
7/19/17,W,lab,M,2.425,0.99,0.7
7/19/17,W,lab,F,2.75,1.06,0.78
7/19/17,S,lab,M,2.1,0.81,0.69
7/19/17,S,lab,M,2.125,0.9,0.68
7/19/17,S,lab,M,2.05,0.9,0.67
7/19/17,S,lab,F,2.5,1.05,0.75
7/19/17,S,lab,M,2.225,0.88,0.7
7/19/17,S,lab,F,2.5,1.04,0.77
7/19/17,S,lab,M,2.2,0.88,0.74
7/19/17,S,lab,M,2.125,0.87,0.62
7/19/17,S,lab,M,2.2,0.88,0.67
7/19/17,S,lab,M,2.2,0.88,0.7
7/19/17,S,lab,F,2.475,1.01,0.75
08/03/2017,S,lab,F,2.4,0.94,0.73
08/03/2017,W,lab,M,2.65,1.1,0.72
08/03/2017,S,lab,M,2.15,0.88,0.72
08/03/2017,W,lab,M,2.725,1.11,0.74
08/03/2017,S,lab,F,2.625,1.07,0.8
08/03/2017,W,lab,M,2.575,1.05,0.74
08/03/2017,S,lab,F,2.625,1.04,0.76
08/03/2017,W,lab,F,2.975,1.22,0.8
08/03/2017,S,lab,F,2.2,0.86,0.67
08/03/2017,W,lab,F,2.975,1.19,0.77
08/03/2017,W,lab,F,2.8,1.25,0.75
08/03/2017,S,lab,M,2.275,0.87,0.7
08/03/2017,W,lab,M,2.525,1.01,0.75
08/03/2017,S,lab,F,2.525,1.04,0.78
08/03/2017,S,lab,F,2.4,1.01,0.76
08/03/2017,W,lab,F,3.25,1.28,0.82
08/03/2017,S,lab,F,2.35,0.93,0.7
08/03/2017,W,lab,M,2.625,1.01,0.71
08/03/2017,W,lab,F,2.975,1.22,0.73
08/03/2017,S,lab,M,2.175,0.82,0.67
08/03/2017,W,lab,M,2.825,1.15,0.75
08/03/2017,S,lab,M,2.4,0.9,0.73
08/03/2017,W,lab,M,2.7,1.12,0.74
08/03/2017,S,lab,F,2.475,1,0.8
08/03/2017,W,lab,M,2.875,1.17,0.75
08/03/2017,S,lab,M,2.2,0.91,0.73
08/03/2017,W,lab,M,2.725,1.05,0.75
08/03/2017,S,lab,F,2.5,1,0.76
08/03/2017,W,lab,F,2.85,1.19,0.8
08/03/2017,S,lab,M,2.225,0.85,0.67
08/03/2017,W,lab,F,2.9,1.24,0.79
08/03/2017,S,lab,F,2.225,0.88,0.77
08/04/2017,W,lab,F,2.9,1.24,0.8
08/04/2017,S,lab,M,2.2,0.85,0.7
08/04/2017,W,lab,M,2.625,1.07,0.71
08/04/2017,S,lab,F,2.225,0.95,0.74
08/04/2017,W,lab,M,2.6,1.1,0.76
08/04/2017,S,lab,F,2.4,1,0.77
08/04/2017,W,lab,M,2.75,1.13,0.75
08/04/2017,S,lab,M,2.075,0.86,0.66
08/04/2017,W,lab,M,2.55,1.15,0.74
08/04/2017,S,lab,F,2.45,1,0.74
08/04/2017,W,lab,F,3.175,1.3,0.84
08/04/2017,S,lab,F,2.475,1.01,0.74
08/04/2017,W,lab,F,2.925,1.15,0.8
08/04/2017,S,lab,F,2.3,0.9,0.73
08/04/2017,W,lab,F,2.825,1.18,0.75
08/04/2017,W,lab,M,2.7,1.09,0.71
08/04/2017,W,lab,F,3.15,1.3,0.82
08/04/2017,W,lab,M,2.75,1.14,0.75
08/04/2017,W,lab,M,2.775,1.1,0.74
08/04/2017,W,lab,M,2.825,1.11,0.75
08/04/2017,W,lab,M,2.7,1.12,0.74
08/04/2017,W,lab,M,2.675,1.07,0.73
08/04/2017,W,lab,M,2.75,1.08,0.77
08/04/2017,W,lab,M,2.725,1.13,0.7
08/09/2017,W,lab,M,2.7,1.11,0.75
08/09/2017,S,lab,F,2.65,0.92,0.7
08/09/2017,W,lab,M,2.875,1.21,0.79
08/09/2017,S,lab,F,2.4,0.94,0.7
